ResponseID,Gender,Age,AgeGroup,ITExperience,University,YearOfStudy,PythonUse,JavaUse,CppUse,JavaScriptUse,ChatGPTUsage,PEOU1,PEOU2,PEOU3,PEOU4,PR1,PR2,PR3,PR4,AIL1,AIL2,AIL3,AIL4,TR1,TR2,TR3,TR4,ANX1,ANX2,ANX3,ANX4,PU1,PU2,PU3,PU4,PLV1,PLV2,PLV3,PLV4,HM1,HM2,HM3,HM4,BI1,BI2,BI3,PEOU_Mean,PR_Mean,AIL_Mean,TR_Mean,ANX_Mean,PU_Mean,PLV_Mean,HM_Mean,BI_Mean
1,1,18,1,0,2,3,1,1,0,0,2,5,4,5,5,5,4,6,5,4,5,4,5,2,3,3,3,2,2,2,2,5,5,5,6,5,4,5,6,5,3,6,5,7,7,7,4.75,5.0,4.5,2.75,2.0,5.25,5.0,4.75,7.0
2,0,18,1,0,3,2,1,1,0,0,3,4,5,2,4,5,4,4,3,5,5,6,6,4,5,4,5,4,2,3,4,4,5,6,5,2,4,3,4,3,4,4,3,5,5,6,3.75,4.0,5.5,4.5,3.25,5.0,3.25,3.5,5.333
3,0,25,3,1,3,2,0,1,0,0,3,3,6,5,6,4,4,5,5,7,4,5,4,2,3,3,4,2,2,4,4,6,5,5,3,5,4,4,4,4,3,4,5,6,6,6,5.0,4.5,5.0,3.0,3.0,4.75,4.25,4.0,6.0
4,0,26,3,1,5,1,1,0,1,0,3,5,4,5,4,4,4,3,2,5,5,4,3,5,5,5,3,4,4,3,3,5,5,3,3,4,4,2,3,6,6,5,6,5,4,6,4.5,3.25,4.25,4.5,3.5,4.0,3.25,5.75,5.0
5,1,22,2,1,2,3,0,0,0,0,2,6,4,7,5,3,4,4,4,5,4,5,4,4,3,4,5,5,6,5,5,7,7,7,7,5,4,5,4,5,5,4,5,6,6,6,5.5,3.75,4.5,4.0,5.25,7.0,4.5,4.75,6.0
6,1,23,2,0,1,3,1,1,1,0,3,3,4,4,4,4,1,2,3,6,5,5,4,5,7,6,6,4,3,2,3,5,4,4,4,6,5,7,7,5,6,6,6,6,5,7,3.75,2.5,5.0,6.0,3.0,4.25,6.25,5.75,6.0
7,1,20,1,0,1,1,0,0,1,0,2,5,4,5,4,2,1,1,2,2,3,3,3,7,7,6,6,4,2,4,4,4,6,7,4,5,6,5,5,2,2,2,3,6,6,6,4.5,1.5,2.75,6.5,3.5,5.25,5.25,2.25,6.0
8,0,18,1,0,1,2,1,0,0,0,2,7,6,6,6,2,2,1,1,3,4,4,5,6,6,6,5,3,4,3,5,5,6,6,7,7,7,7,7,6,4,5,4,5,5,7,6.25,1.5,4.0,5.75,3.75,6.0,7.0,4.75,5.667
9,0,23,2,0,3,4,0,0,0,0,2,5,7,5,5,4,4,3,4,1,2,2,1,3,4,2,3,6,5,5,5,5,5,6,6,5,5,5,6,5,6,7,6,6,6,7,5.5,3.75,1.5,3.0,5.25,5.5,5.25,6.0,6.333
10,0,20,1,0,2,2,0,0,0,0,2,7,5,7,7,3,3,2,2,6,5,5,5,7,7,6,7,3,2,4,3,7,5,7,4,4,4,3,3,7,6,6,7,6,6,7,6.5,2.5,5.25,6.75,3.0,5.75,3.5,6.5,6.333
